Index,S_ID,S_Abbrev,Structure_Method,R_ID,R_Abbrev,Reasoning_Method,P_ID,P_Abbrev,Presentation_Method,Problem_Types,Output_Types,Avg_Complexity,Avg_Domain_Specificity
1,1,S1,DSRP,3,R3,Abductive Reasoning,1,P1,Cornell Notes,complex,conceptual,1.67,0.33
2,1,S1,DSRP,3,R3,Abductive Reasoning,2,P2,SQ3R,complex,conceptual,1.67,0.37
3,1,S1,DSRP,3,R3,Abductive Reasoning,3,P3,CODE (Second Brain),complex,conceptual,2.00,0.33
4,1,S1,DSRP,3,R3,Abductive Reasoning,4,P4,Progressive Summarization,complex,conceptual,2.00,0.33
5,1,S1,DSRP,3,R3,Abductive Reasoning,6,P6,Memo,complex,conceptual,1.67,0.27
6,1,S1,DSRP,3,R3,Abductive Reasoning,7,P7,Executive Summary,complex,conceptual,1.67,0.27
7,1,S1,DSRP,3,R3,Abductive Reasoning,10,P10,White Paper,complex,conceptual,2.00,0.30
8,1,S1,DSRP,3,R3,Abductive Reasoning,14,P14,FAQ,complex,conceptual,1.67,0.27
9,1,S1,DSRP,3,R3,Abductive Reasoning,25,P25,Mind Map,complex,conceptual,1.67,0.27
10,1,S1,DSRP,3,R3,Abductive Reasoning,28,P28,Slide Deck,complex,conceptual,1.67,0.27
11,1,S1,DSRP,3,R3,Abductive Reasoning,36,P36,Metaphorical Explanation,complex,conceptual,2.00,0.30
12,1,S1,DSRP,8,R8,Design Thinking,5,P5,Checklist,complex,sequential,1.67,0.30
13,1,S1,DSRP,8,R8,Design Thinking,6,P6,Memo,complex,qualitative,1.67,0.27
14,1,S1,DSRP,8,R8,Design Thinking,8,P8,Technical Report,complex,qualitative; sequential,2.00,0.27
15,1,S1,DSRP,8,R8,Design Thinking,10,P10,White Paper,complex,qualitative,2.00,0.30
16,1,S1,DSRP,8,R8,Design Thinking,11,P11,Academic Paper,complex,qualitative,2.33,0.30
17,1,S1,DSRP,8,R8,Design Thinking,12,P12,Case Study,complex,qualitative,2.00,0.30
18,1,S1,DSRP,8,R8,Design Thinking,13,P13,Tutorial,complex,sequential,1.67,0.30
19,1,S1,DSRP,8,R8,Design Thinking,15,P15,Dialogue,complex,qualitative,2.00,0.30
20,1,S1,DSRP,8,R8,Design Thinking,19,P19,Flowchart,complex,sequential,1.67,0.27
21,1,S1,DSRP,8,R8,Design Thinking,20,P20,Gantt Chart,complex,sequential,1.67,0.33
22,1,S1,DSRP,8,R8,Design Thinking,26,P26,Timeline,complex,sequential,1.67,0.27
23,1,S1,DSRP,8,R8,Design Thinking,32,P32,Annotated Code,complex,sequential,2.00,0.40
24,1,S1,DSRP,8,R8,Design Thinking,33,P33,Narrative Synthesis,complex,qualitative,2.00,0.27
25,1,S1,DSRP,8,R8,Design Thinking,35,P35,Dialogue Format,complex,qualitative,2.00,0.30
26,1,S1,DSRP,9,R9,OODA Loop,5,P5,Checklist,complex,sequential,1.67,0.33
27,1,S1,DSRP,9,R9,OODA Loop,8,P8,Technical Report,complex,sequential,2.00,0.30
28,1,S1,DSRP,9,R9,OODA Loop,13,P13,Tutorial,complex,sequential,1.67,0.33
29,1,S1,DSRP,9,R9,OODA Loop,19,P19,Flowchart,complex,sequential,1.67,0.30
30,1,S1,DSRP,9,R9,OODA Loop,20,P20,Gantt Chart,complex,sequential,1.67,0.37
31,1,S1,DSRP,9,R9,OODA Loop,26,P26,Timeline,complex,sequential,1.67,0.30
32,1,S1,DSRP,9,R9,OODA Loop,32,P32,Annotated Code,complex,sequential,2.00,0.43
33,1,S1,DSRP,12,R12,Scientific Method,5,P5,Checklist,complex,sequential,1.67,0.27
34,1,S1,DSRP,12,R12,Scientific Method,8,P8,Technical Report,complex,sequential,2.00,0.23
35,1,S1,DSRP,12,R12,Scientific Method,13,P13,Tutorial,complex,sequential,1.67,0.27
36,1,S1,DSRP,12,R12,Scientific Method,19,P19,Flowchart,complex,sequential,1.67,0.23
37,1,S1,DSRP,12,R12,Scientific Method,20,P20,Gantt Chart,complex,sequential,1.67,0.30
38,1,S1,DSRP,12,R12,Scientific Method,26,P26,Timeline,complex,sequential,1.67,0.23
39,1,S1,DSRP,12,R12,Scientific Method,32,P32,Annotated Code,complex,sequential,2.00,0.37
40,1,S1,DSRP,15,R15,Naturalistic Decision-Making,6,P6,Memo,complex,qualitative,1.67,0.30
41,1,S1,DSRP,15,R15,Naturalistic Decision-Making,8,P8,Technical Report,complex,qualitative,2.00,0.30
42,1,S1,DSRP,15,R15,Naturalistic Decision-Making,10,P10,White Paper,complex,qualitative,2.00,0.33
43,1,S1,DSRP,15,R15,Naturalistic Decision-Making,11,P11,Academic Paper,complex,qualitative,2.33,0.33
44,1,S1,DSRP,15,R15,Naturalistic Decision-Making,12,P12,Case Study,complex,qualitative,2.00,0.33
45,1,S1,DSRP,15,R15,Naturalistic Decision-Making,15,P15,Dialogue,complex,qualitative,2.00,0.33
46,1,S1,DSRP,15,R15,Naturalistic Decision-Making,33,P33,Narrative Synthesis,complex,qualitative,2.00,0.30
47,1,S1,DSRP,15,R15,Naturalistic Decision-Making,35,P35,Dialogue Format,complex,qualitative,2.00,0.33
48,1,S1,DSRP,16,R16,Intuitive Decision-Making,6,P6,Memo,complex,qualitative,1.33,0.27
